"Species","Fidelity"
"Recurvirostra avosetta [FRP-FS117863]",1
"Recurvirostra avosetta [FRP-FS117865]",1
"Recurvirostra avosetta [FRP-FS117905]",1
"Recurvirostra avosetta [FRP-FS117906]",1
"Himantopus himantopus [FRP-FA63856]",1
"Himantopus himantopus [FRP-FA63881]",0.0436703153317318
"Himantopus himantopus [FRP-FA63883]",1
"Himantopus himantopus [FRP-FS117861]",0.172157789000772
"Himantopus himantopus [FRP-FS117862]",1
"Himantopus himantopus [FRP-FS117876]",1
"Himantopus himantopus [FRP-FS117877]",0.0362711375740043
"Chroicocephalus genei [FRP-FA63806]",1
"Chroicocephalus genei [FRP-FA70884]",1
"Chroicocephalus genei [FRP-FS103785]",1
"Chroicocephalus genei [FRP-FS103787]",1
"Chroicocephalus genei [FRP-FS103788]",1
"Chroicocephalus genei [FRP-FS103789]",1
"Chroicocephalus genei [FRP-FS103790]",1
"Chroicocephalus genei [FRP-FS117764]",0.0318975129158232
"Chroicocephalus genei [FRP-FS117882]",1
"Chroicocephalus genei [FRP-FS117885]",1
"Chroicocephalus genei [FRP-FS117887]",1
"Chroicocephalus genei [FRP-FS117889]",1
"Chroicocephalus genei [FRP-FS117901]",0.0654294543393054
"Chroicocephalus genei [FRP-FS89746]",1
"2022_Thau_central_Darvic 15",1
"2022_Thau_central_Darvic 17",1
"2022_Thau_est_Darvic 18",1
"2022_Thau_est_Darvic 19",1
"2022_Thau_est_Darvic 20",1
"2022_Thau_ouest_Darvic 03",1
"2023_Thau_ouest_Darvic 29",1
"Thalasseus sandvicensis [FRP-GE13347]",1
"Gelochelidon nilotica [FRP-GE13336]",1
"Gelochelidon nilotica [FRP-GE13337]",0.467984319278667
"Gelochelidon nilotica [FRP-GE13338]",1
"Gelochelidon nilotica [FRP-GE13339]",1
"Gelochelidon nilotica [FRP-GE13341]",0.00514979149933875
