"species_id","season","year","total_stopover","total_duration","average_duration","min_duration","max_duration","vol_no"
"Recurvirostra avosetta [FRP-FS117863]","Autumn",2023,1,179.999444444444,179.999444444444,179.999444444444,179.999444444444,"Vol 1"
"Recurvirostra avosetta [FRP-FS117865]","Autumn",2023,6,1900.98527777778,316.83087962963,71.9919444444444,740.006111111111,"Vol 1"
"Recurvirostra avosetta [FRP-FS117906]","Autumn",2022,3,409.994444444444,136.664814814815,85,209.500277777778,"Vol 1"
"Himantopus himantopus [FRP-FA63856]","Autumn",NA,0,0,0,0,0,"Vol 1"
"Himantopus himantopus [FRP-FA63881]","Autumn",2023,3,187.336388888889,62.445462962963,31.9872222222222,108.006111111111,"Vol 1"
"Himantopus himantopus [FRP-FA63881]","Autumn",2024,5,826.535555555556,165.307111111111,31.505,665.334722222222,"Vol 2"
"Himantopus himantopus [FRP-FA63883]","Autumn",NA,0,0,0,0,0,"Vol 1"
"Himantopus himantopus [FRP-FS117862]","Autumn",2023,1,1524.90416666667,1524.90416666667,1524.90416666667,1524.90416666667,"Vol 1"
"Himantopus himantopus [FRP-FS117876]","Autumn",NA,0,0,0,0,0,"Vol 1"
"Himantopus himantopus [FRP-FS117877]","Autumn",2023,4,519.609166666667,129.902291666667,54.6622222222222,227.539166666667,"Vol 1"
"Himantopus himantopus [FRP-FS117877]","Autumn",2024,5,2083.78472222222,416.756944444444,67.2136111111111,1288.33444444444,"Vol 2"
"2022_Thau_central_Darvic 15","Autumn",2022,6,402.849722222222,67.1416203703704,25.0108333333333,129.000277777778,"Vol 1"
"2022_Thau_est_Darvic 18","Autumn",2022,3,176.018888888889,58.672962962963,27.0233333333333,102,"Vol 1"
"2022_Thau_est_Darvic 19","Autumn",2022,3,1013.00916666667,337.669722222222,24.9994444444444,926.506666666667,"Vol 1"
"2022_Thau_est_Darvic 20","Autumn",NA,0,0,0,0,0,"Vol 1"
"2022_Thau_ouest_Darvic 03","Autumn",2022,7,355.455833333333,50.7794047619048,24.1488888888889,73.9158333333333,"Vol 1"
"2023_Thau_ouest_Darvic 29","Autumn",2023,5,290.538055555556,58.1076111111111,24,134.455833333333,"Vol 1"
"Thalasseus sandvicensis [FRP-GE13347]","Autumn",2023,4,961.831388888889,240.457847222222,25.1616666666667,482.333055555556,"Vol 1"
"Gelochelidon nilotica [FRP-GE13336]","Autumn",2023,4,2165.66666666667,541.416666666667,73.1836111111111,1519.31722222222,"Vol 1"
"Gelochelidon nilotica [FRP-GE13337]","Autumn",2023,2,279.889722222222,139.944861111111,129.066944444444,150.822777777778,"Vol 1"
"Gelochelidon nilotica [FRP-GE13337]","Autumn",2024,3,412.414722222222,137.471574074074,27.5311111111111,344.250277777778,"Vol 2"
"Gelochelidon nilotica [FRP-GE13337]","Autumn",2025,4,326.373611111111,81.5934027777778,55.3911111111111,118.482777777778,"Vol 3"
"Gelochelidon nilotica [FRP-GE13338]","Autumn",2023,3,251.170277777778,83.7234259259259,26.3258333333333,120.669444444444,"Vol 1"
"Gelochelidon nilotica [FRP-GE13339]","Autumn",2023,7,2147.01194444444,306.715992063492,33.4344444444444,1045.30055555556,"Vol 1"
"Gelochelidon nilotica [FRP-GE13341]","Autumn",2023,4,2001.94222222222,500.485555555556,29.7005555555556,1401.07611111111,"Vol 1"
"Gelochelidon nilotica [FRP-GE13341]","Autumn",NA,0,0,0,0,0,"Vol 2"
"Gelochelidon nilotica [FRP-GE13341]","Autumn",2025,2,121.653055555556,60.8265277777778,42.3352777777778,79.3177777777778,"Vol 3"
"Gelochelidon nilotica [FRP-GE13342]","Autumn",2023,5,788.28,157.656,33.1691666666667,318.818333333333,"Vol 1"
"Gelochelidon nilotica [FRP-GE13342]","Autumn",2025,3,111.808888888889,37.2696296296296,30.1502777777778,44.9941666666667,"Vol 2"
"Gelochelidon nilotica [FRP-GE13349]","Autumn",2023,3,423.181111111111,141.06037037037,37.6666666666667,193.180555555556,"Vol 1"
"Gelochelidon nilotica [FRP-GE13349]","Autumn",2025,3,345.15,115.05,51.4655555555556,213.999444444444,"Vol 2"
