"species","individual","wintering","homerange_size","wintering_duration","phase"
"Recurvirostra avosetta","Recurvirostra avosetta [FRP-FS117863]","Hivernage1",3172.69813755913,1.9378587962963,""
"Recurvirostra avosetta","Recurvirostra avosetta [FRP-FS117865]","Hivernage1",89.1618879289016,90.9652893518519,""
"Recurvirostra avosetta","Recurvirostra avosetta [FRP-FS117906]","Hivernage1",33.802956,152.959884259259,""
"Himantopus himantopus","Himantopus himantopus [FRP-FA63856]","Hivernage1",1488.0046231059,210.907418981481,""
"Himantopus himantopus","Himantopus himantopus [FRP-FA63881]","Hivernage1",1362.27156385415,208.957638888889,""
"Himantopus himantopus","Himantopus himantopus [FRP-FA63881]","Hivernage2",3867.50491954844,180.982280092593,""
"Himantopus himantopus","Himantopus himantopus [FRP-FA63883]","Hivernage1",9822.29972351112,234.994039351852,""
"Himantopus himantopus","Himantopus himantopus [FRP-FS117862]","Hivernage1",4852.48002637178,259.674652777778,""
"Himantopus himantopus","Himantopus himantopus [FRP-FS117876]","Hivernage1",4072.52403205757,207.94275462963,""
"Himantopus himantopus","Himantopus himantopus [FRP-FS117877]","Hivernage1",4524.6223427529,209.593194444444,""
"Himantopus himantopus","Himantopus himantopus [FRP-FS117877]","Hivernage2",194.408099363676,147.901446759259,""
"Thalasseus sandvicensis","2022_Thau_central_Darvic 15","Hivernage1",6093.9199365,125.875266203704,""
"Thalasseus sandvicensis","2022_Thau_est_Darvic 18","Hivernage1",6548.35198416014,168.958506944444,""
"Thalasseus sandvicensis","2022_Thau_est_Darvic 19","Hivernage1",3983.31619318247,49.2498032407407,""
"Thalasseus sandvicensis","2022_Thau_est_Darvic 20","Hivernage1",118.434168012416,65.7503819444444,""
"Thalasseus sandvicensis","2022_Thau_ouest_Darvic 03","Hivernage1",125.629988831206,35.417349537037,""
"Thalasseus sandvicensis","2023_Thau_ouest_Darvic 29","Hivernage1",1376.2171535632,20.458587962963,""
"Thalasseus sandvicensis","Thalasseus sandvicensis [FRP-GE13347]","Hivernage1",3174.74295437191,14.9996412037037,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13336]","Hivernage1",2383.61646421949,161.708321759259,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13337]","Hivernage1",286.134927476374,251.965625,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13337]","Hivernage2",750.847356945012,258.986111111111,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13337]","Hivernage3",225.233798,116.620844907407,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13338]","Hivernage1",3021.42916402038,315.531319444444,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13339]","Hivernage1",3715.67233568714,57.6069097222222,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13341]","Hivernage1",105.0293745,159.965289351852,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13341]","Hivernage2",1771.84870157789,257.979282407407,""
"Gelochelidon nilotica","Gelochelidon nilotica [FRP-GE13341]","Hivernage3",630.948094787699,108.665752314815,""
