"Species","prop","Class","n"
"Chroicocephalus genei",0.67,"Arbres",4
"Chroicocephalus genei",0.84,"Arbustes et broussailles",5
"Chroicocephalus genei",3.37,"Cultures",20
"Chroicocephalus genei",88.7,"Eau",526
"Chroicocephalus genei",3.04,"Sol nu",18
"Chroicocephalus genei",3.37,"Zone bâtie",20
"Gelochelidon nilotica",2.86,"Arbres",2
"Gelochelidon nilotica",4.29,"Arbustes et broussailles",3
"Gelochelidon nilotica",24.29,"Cultures",17
"Gelochelidon nilotica",30,"Eau",21
"Gelochelidon nilotica",21.43,"Sol nu",15
"Gelochelidon nilotica",8.57,"Végétation inondée",6
"Gelochelidon nilotica",8.57,"Zone bâtie",6
"Himantopus himantopus",5.26,"Arbres",4
"Himantopus himantopus",7.89,"Arbustes et broussailles",6
"Himantopus himantopus",28.95,"Cultures",22
"Himantopus himantopus",7.89,"Eau",6
"Himantopus himantopus",23.68,"Sol nu",18
"Himantopus himantopus",1.32,"Végétation inondée",1
"Himantopus himantopus",25,"Zone bâtie",19
"Recurvirostra avosetta",8.7,"Arbustes et broussailles",2
"Recurvirostra avosetta",17.39,"Cultures",4
"Recurvirostra avosetta",30.43,"Eau",7
"Recurvirostra avosetta",8.7,"Herbe",2
"Recurvirostra avosetta",13.04,"Sol nu",3
"Recurvirostra avosetta",8.7,"Végétation inondée",2
"Recurvirostra avosetta",13.04,"Zone bâtie",3
"Thalasseus sandvicensis",93.58,"Eau",102
"Thalasseus sandvicensis",2.75,"Sol nu",3
"Thalasseus sandvicensis",0.92,"Végétation inondée",1
"Thalasseus sandvicensis",2.75,"Zone bâtie",3
