"individual","mean_distance"
"Recurvirostra avosetta [FRP-FS117863]",1571.47208074953
"Recurvirostra avosetta [FRP-FS117865]",541.771014214921
"Recurvirostra avosetta [FRP-FS117905]",910.568995933418
"Recurvirostra avosetta [FRP-FS117906]",325.116094336785
"Himantopus himantopus [FRP-FA63856]",764.948853974459
"Himantopus himantopus [FRP-FA63881]",1216.05481826716
"Himantopus himantopus [FRP-FA63883]",6623.275243229
"Himantopus himantopus [FRP-FS117861]",1376.92773933228
"Himantopus himantopus [FRP-FS117862]",2395.92150562568
"Himantopus himantopus [FRP-FS117876]",4422.71489969647
"Himantopus himantopus [FRP-FS117877]",1837.86627595193
"Chroicocephalus genei [FRP-FA63806]",2191.89844460039
"Chroicocephalus genei [FRP-FA70884]",778.398608004886
"Chroicocephalus genei [FRP-FS103785]",2937.01458622265
"Chroicocephalus genei [FRP-FS103787]",3862.06112393676
"Chroicocephalus genei [FRP-FS103788]",4317.69769581854
"Chroicocephalus genei [FRP-FS103789]",2383.78071093675
"Chroicocephalus genei [FRP-FS103790]",1154.20114870206
"Chroicocephalus genei [FRP-FS117764]",1757.95390161237
"Chroicocephalus genei [FRP-FS117882]",5426.24560641284
"Chroicocephalus genei [FRP-FS117885]",3694.60635132666
"Chroicocephalus genei [FRP-FS117887]",3403.87157379535
"Chroicocephalus genei [FRP-FS117889]",3761.04771335001
"Chroicocephalus genei [FRP-FS117901]",389.843478400204
"Chroicocephalus genei [FRP-FS89746]",893.183914861123
"2022_Thau_central_Darvic 15",2550.4863470033
"2022_Thau_central_Darvic 17",199.394551375804
"2022_Thau_est_Darvic 18",1503.68408963411
"2022_Thau_est_Darvic 19",1627.97661644848
"2022_Thau_est_Darvic 20",1526.27767585054
"2022_Thau_ouest_Darvic 03",760.920472120911
"2023_Thau_ouest_Darvic 29",466.8040159573
"Thalasseus sandvicensis [FRP-GE13347]",2015.36841291725
"Gelochelidon nilotica [FRP-GE13336]",1869.79395330802
"Gelochelidon nilotica [FRP-GE13337]",617.620316549597
"Gelochelidon nilotica [FRP-GE13338]",681.296438207025
"Gelochelidon nilotica [FRP-GE13339]",643.665534719641
"Gelochelidon nilotica [FRP-GE13341]",367.178395919525
