"longitude","latitude","individual","species","datatype","vol_no","phase"
4.30161094665527,43.5404396057129,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
4.27900218963623,43.5456466674805,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
4.20426893234253,43.5007095336914,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
4.21981811523438,43.4995384216309,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-0.604717493057251,38.200813293457,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-0.604968428611755,38.200496673584,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-4.10741186141968,37.0042610168457,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32433986663818,36.8865242004395,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32406425476074,36.886905670166,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32478713989258,36.8872299194336,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.31798362731934,36.8838348388672,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32423734664917,36.8863143920898,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32992887496948,36.8826103210449,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.33027696609497,36.8823127746582,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32781887054443,36.8842582702637,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32443237304688,36.8860778808594,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.3302788734436,36.8819770812988,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
-6.32968997955322,36.882984161377,"Recurvirostra avosetta [FRP-FS117863]","Recurvirostra avosetta","raw","Vol 1","nord_sud"
