"individual","total_stopover"
"Recurvirostra avosetta [FRP-FS117863]",1
"Recurvirostra avosetta [FRP-FS117865]",1
"Recurvirostra avosetta [FRP-FS117905]",0
"Recurvirostra avosetta [FRP-FS117906]",0
"Himantopus himantopus [FRP-FA63856]",4
"Himantopus himantopus [FRP-FA63881]",12
"Himantopus himantopus [FRP-FA63883]",1
"Himantopus himantopus [FRP-FS117861]",1
"Himantopus himantopus [FRP-FS117862]",4
"Himantopus himantopus [FRP-FS117876]",6
"Himantopus himantopus [FRP-FS117877]",13
"Chroicocephalus genei [FRP-FA63806]",5
"Chroicocephalus genei [FRP-FA70884]",0
"Chroicocephalus genei [FRP-FS103785]",3
"Chroicocephalus genei [FRP-FS103787]",1
"Chroicocephalus genei [FRP-FS103788]",1
"Chroicocephalus genei [FRP-FS103789]",3
"Chroicocephalus genei [FRP-FS103790]",6
"Chroicocephalus genei [FRP-FS117764]",1
"Chroicocephalus genei [FRP-FS117882]",1
"Chroicocephalus genei [FRP-FS117885]",11
"Chroicocephalus genei [FRP-FS117887]",1
"Chroicocephalus genei [FRP-FS117889]",1
"Chroicocephalus genei [FRP-FS117901]",4
"Chroicocephalus genei [FRP-FS89746]",5
"2022_Thau_central_Darvic 15",1
"2022_Thau_central_Darvic 17",1
"2022_Thau_est_Darvic 18",1
"2022_Thau_est_Darvic 19",4
"2022_Thau_est_Darvic 20",1
"2022_Thau_ouest_Darvic 03",10
"2023_Thau_ouest_Darvic 29",1
"Thalasseus sandvicensis [FRP-GE13347]",1
"Gelochelidon nilotica [FRP-GE13336]",8
"Gelochelidon nilotica [FRP-GE13337]",1
"Gelochelidon nilotica [FRP-GE13338]",1
"Gelochelidon nilotica [FRP-GE13339]",21
"Gelochelidon nilotica [FRP-GE13341]",2
