"individual","total_stopover"
"Recurvirostra avosetta [FRP-FS117863]",1
"Recurvirostra avosetta [FRP-FS117865]",7
"Recurvirostra avosetta [FRP-FS117905]",0
"Recurvirostra avosetta [FRP-FS117906]",0
"Himantopus himantopus [FRP-FA63856]",0
"Himantopus himantopus [FRP-FA63881]",9
"Himantopus himantopus [FRP-FA63883]",0
"Himantopus himantopus [FRP-FS117861]",1
"Himantopus himantopus [FRP-FS117862]",1
"Himantopus himantopus [FRP-FS117876]",0
"Himantopus himantopus [FRP-FS117877]",6
"Chroicocephalus genei [FRP-FA63806]",2
"Chroicocephalus genei [FRP-FA70884]",0
"Chroicocephalus genei [FRP-FS103785]",1
"Chroicocephalus genei [FRP-FS103787]",0
"Chroicocephalus genei [FRP-FS103788]",0
"Chroicocephalus genei [FRP-FS103789]",0
"Chroicocephalus genei [FRP-FS103790]",3
"Chroicocephalus genei [FRP-FS117764]",4
"Chroicocephalus genei [FRP-FS117882]",0
"Chroicocephalus genei [FRP-FS117885]",0
"Chroicocephalus genei [FRP-FS117887]",0
"Chroicocephalus genei [FRP-FS117889]",1
"Chroicocephalus genei [FRP-FS117901]",5
"Chroicocephalus genei [FRP-FS89746]",3
"2022_Thau_central_Darvic 15",9
"2022_Thau_central_Darvic 17",0
"2022_Thau_est_Darvic 18",9
"2022_Thau_est_Darvic 19",1
"2022_Thau_est_Darvic 20",0
"2022_Thau_ouest_Darvic 03",8
"2023_Thau_ouest_Darvic 29",0
"Thalasseus sandvicensis [FRP-GE13347]",0
"Gelochelidon nilotica [FRP-GE13336]",1
"Gelochelidon nilotica [FRP-GE13337]",0
"Gelochelidon nilotica [FRP-GE13338]",4
"Gelochelidon nilotica [FRP-GE13339]",7
"Gelochelidon nilotica [FRP-GE13341]",1
"Gelochelidon nilotica [FRP-GE13342]",1
"Gelochelidon nilotica [FRP-GE13349]",2
