"individual","total_stopover"
"Recurvirostra avosetta [FRP-FS117865]",1
"Recurvirostra avosetta [FRP-FS117906]",0
"Himantopus himantopus [FRP-FA63856]",2
"Himantopus himantopus [FRP-FA63881]",3
"Himantopus himantopus [FRP-FA63883]",3
"Himantopus himantopus [FRP-FS117861]",3
"Himantopus himantopus [FRP-FS117862]",1
"Himantopus himantopus [FRP-FS117876]",1
"Himantopus himantopus [FRP-FS117877]",5
"Chroicocephalus genei [FRP-FA63806]",0
"Chroicocephalus genei [FRP-FA70884]",0
"Chroicocephalus genei [FRP-FS103785]",0
"Chroicocephalus genei [FRP-FS103787]",0
"Chroicocephalus genei [FRP-FS103788]",0
"Chroicocephalus genei [FRP-FS103789]",2
"Chroicocephalus genei [FRP-FS103790]",0
"Chroicocephalus genei [FRP-FS117764]",1
"Chroicocephalus genei [FRP-FS117882]",0
"Chroicocephalus genei [FRP-FS117885]",0
"Chroicocephalus genei [FRP-FS117887]",0
"Chroicocephalus genei [FRP-FS117889]",1
"Chroicocephalus genei [FRP-FS117901]",1
"Chroicocephalus genei [FRP-FS89746]",0
"2022_Thau_central_Darvic 15",4
"2022_Thau_est_Darvic 18",8
"Gelochelidon nilotica [FRP-GE13337]",1
"Gelochelidon nilotica [FRP-GE13341]",1
"Gelochelidon nilotica [FRP-GE13342]",0
"Gelochelidon nilotica [FRP-GE13349]",1
