"individual","distance","hivernage"
"Recurvirostra avosetta [FRP-FS117863]",1571.47208074953,"Hivernage1"
"Recurvirostra avosetta [FRP-FS117865]",541.771014214921,"Hivernage1"
"Recurvirostra avosetta [FRP-FS117905]",910.568995933418,"Hivernage1"
"Recurvirostra avosetta [FRP-FS117906]",325.116094336785,"Hivernage1"
"Himantopus himantopus [FRP-FA63856]",764.948853974459,"Hivernage1"
"Himantopus himantopus [FRP-FA63881]",1953.60727423898,"Hivernage1"
"Himantopus himantopus [FRP-FA63881]",478.502362295342,"Hivernage2"
"Himantopus himantopus [FRP-FA63883]",6623.275243229,"Hivernage1"
"Himantopus himantopus [FRP-FS117861]",1109.20115372266,"Hivernage1"
"Himantopus himantopus [FRP-FS117861]",1644.6543249419,"Hivernage2"
"Himantopus himantopus [FRP-FS117862]",2395.92150562568,"Hivernage1"
"Himantopus himantopus [FRP-FS117876]",4422.71489969647,"Hivernage1"
"Himantopus himantopus [FRP-FS117877]",2650.83999997293,"Hivernage1"
"Himantopus himantopus [FRP-FS117877]",1024.89255193094,"Hivernage2"
"Chroicocephalus genei [FRP-FA63806]",2191.89844460039,"Hivernage1"
"Chroicocephalus genei [FRP-FA70884]",778.398608004886,"Hivernage1"
"Chroicocephalus genei [FRP-FS103785]",2937.01458622265,"Hivernage1"
"Chroicocephalus genei [FRP-FS103787]",3862.06112393676,"Hivernage1"
"Chroicocephalus genei [FRP-FS103788]",4317.69769581854,"Hivernage1"
"Chroicocephalus genei [FRP-FS103789]",2383.78071093675,"Hivernage1"
"Chroicocephalus genei [FRP-FS103790]",1154.20114870206,"Hivernage1"
"Chroicocephalus genei [FRP-FS117764]",2030.59163475842,"Hivernage1"
"Chroicocephalus genei [FRP-FS117764]",1575.30565654158,"Hivernage2"
"Chroicocephalus genei [FRP-FS117764]",1667.96441353711,"Hivernage3"
"Chroicocephalus genei [FRP-FS117882]",5426.24560641284,"Hivernage1"
"Chroicocephalus genei [FRP-FS117885]",3694.60635132666,"Hivernage1"
"Chroicocephalus genei [FRP-FS117887]",3403.87157379535,"Hivernage1"
"Chroicocephalus genei [FRP-FS117889]",3761.04771335001,"Hivernage1"
"Chroicocephalus genei [FRP-FS117901]",407.417203330276,"Hivernage1"
"Chroicocephalus genei [FRP-FS117901]",334.121759842205,"Hivernage2"
"Chroicocephalus genei [FRP-FS117901]",427.991472028132,"Hivernage3"
"Chroicocephalus genei [FRP-FS89746]",893.183914861123,"Hivernage1"
"2022_Thau_central_Darvic 15",2550.4863470033,"Hivernage1"
"2022_Thau_central_Darvic 17",199.394551375804,"Hivernage1"
"2022_Thau_est_Darvic 18",1503.68408963411,"Hivernage1"
"2022_Thau_est_Darvic 19",1627.97661644848,"Hivernage1"
"2022_Thau_est_Darvic 20",1526.27767585054,"Hivernage1"
"2022_Thau_ouest_Darvic 03",760.920472120911,"Hivernage1"
"2023_Thau_ouest_Darvic 29",466.8040159573,"Hivernage1"
"Thalasseus sandvicensis [FRP-GE13347]",2015.36841291725,"Hivernage1"
"Gelochelidon nilotica [FRP-GE13336]",1869.79395330802,"Hivernage1"
"Gelochelidon nilotica [FRP-GE13337]",626.995982911737,"Hivernage1"
"Gelochelidon nilotica [FRP-GE13337]",608.244650187457,"Hivernage2"
"Gelochelidon nilotica [FRP-GE13338]",681.296438207025,"Hivernage1"
"Gelochelidon nilotica [FRP-GE13339]",643.665534719641,"Hivernage1"
"Gelochelidon nilotica [FRP-GE13341]",306.227592857736,"Hivernage1"
"Gelochelidon nilotica [FRP-GE13341]",428.129198981313,"Hivernage2"
